"analysis_id","draw","replicate","estimand","regime","sites","pooled_sites","pooled_population_share","unweighted_takeup","population_weighted_takeup","expected_takers","population_mean_distance_km","population_p90_distance_km","site_cost","signal_cost","travel_cost","total_cost","target_rate","target_slack_takers","roundtrip_participant_km","taker_mean_distance_km"
"baseline-posterior",1406,1406,"population","bracelet",75,52,0.798796485237163,0.315057668103665,0.325799818640493,31293.7241800567,1.99200065402294,3.27297399145503,75,0,0,75,0.325457881061375,32.8437883495099,107101.353160118,1.71122734615864
"baseline-posterior",1406,1406,"legacy","control",106,29,0.465277777777778,0.326012775612779,0.326012775612779,46.9458396882402,1.25507580972921,3.12922663651524,106,0,0,106,0.32493189499584,0.155646808839187,73.1893909287206,0.779508806475287
"baseline-posterior",1406,1406,"legacy","bracelet",77,50,0.8125,0.325047634710686,0.325047634710686,46.8068593983388,1.99287221781715,3.25257426446003,77,0,0,77,0.32493189499584,0.0166665189378179,162.735145432166,1.73836855883928
"baseline-posterior",1407,1407,"population","control",102,34,0.435639028859368,0.310775219397023,0.338570833242408,32520.4056745997,1.22582678751882,3.18460428668241,102,0,0,102,0.336031850200003,243.874399189099,52392.2020911438,0.805528113876898
"baseline-posterior",1407,1407,"population","bracelet",87,44,0.632449090076209,0.319049257094847,0.337242170464226,32392.7849574298,1.61140701450225,3.27297399145503,87,0,0,87,0.336031850200003,116.253682019196,79530.6761541795,1.22759861893162
"baseline-posterior",1407,1407,"legacy","control",106,29,0.465277777777778,0.335976335782007,0.335976335782007,48.380592352609,1.25238167879258,3.20573768696429,106,0,0,106,0.335511232756083,0.0669748357330278,76.5049430256436,0.790657361820394
"baseline-posterior",1407,1407,"legacy","bracelet",91,39,0.638888888888889,0.336725321079555,0.336725321079555,48.488446235456,1.61098883635658,3.20998882267476,91,0,0,91,0.335511232756083,0.17482871857996,120.498267614152,1.24254618336317
"baseline-posterior",1408,1408,"population","control",102,33,0.432817640444759,0.305828218341091,0.332184181502589,31906.9550016867,1.23275381395489,3.18460428668241,102,0,0,102,0.330791555897399,133.764474629708,52190.0534739354,0.817847605187906
"baseline-posterior",1408,1408,"population","bracelet",82,46,0.68749219172948,0.315947256511235,0.332007886363284,31890.0215009661,1.76954262582409,3.23465370020018,82,0,0,82,0.330791555897399,116.83097390916,90598.247228048,1.42047955698781
"baseline-posterior",1408,1408,"legacy","control",106,30,0.472222222222222,0.330666308564688,0.330666308564688,47.6159484333151,1.25192604729911,3.13398607852492,106,0,0,106,0.330287820534611,0.0545022763311351,75.9132861362625,0.797141384704087
"baseline-posterior",1408,1408,"legacy","bracelet",85,44,0.715277777777778,0.331494592702723,0.331494592702723,47.7352213491922,1.76708538031849,3.25257426446003,85,0,0,85,0.330287820534611,0.173775192208204,138.058021707531,1.44608129810073
"baseline-posterior",1409,1409,"population","control",102,34,0.434337650439345,0.295762409697003,0.323027447399369,31027.4323776042,1.22574459106343,3.18966975273969,102,0,0,102,0.32187716247813,110.48716725484,49961.6671185675,0.805120876754053
